decision_id,decision_timestamp,agent_type,confidence,session_id,conversation_timestamp,source_path,winning_turn,score,score_margin,appears_unique,ambiguity,diagnostic_failure_mode
mse_ejpbz4qqsbdx0hvc:d1,2026-07-08T19:48:00+00:00,codex,No match,019f3d0f-e0d9-7f33-a335-ee1a679f0137,2026-07-07T14:51:23.674000+00:00,.codex/sessions/2026/07/07/rollout-2026-07-07T15-51-23-019f3d0f-e0d9-7f33-a335-ee1a679f0137.jsonl,1,0.2065147096222809,0.2065147096222809,True,,no sufficiently similar conversation window in the temporal candidate set
mse_eyx6tbqp42v8frg5:d1,2026-09-06T13:04:00+00:00,codex,No match,01a076c1-c6d3-7372-8226-bd8370d1516e,2026-09-06T12:46:46.120000+00:00,.codex/sessions/2026/09/06/rollout-2026-09-06T13-46-46-01a076c1-c6d3-7372-8226-bd8370d1516e.jsonl,3,0.1738179982884613,0.015545007058818283,True,,no sufficiently similar conversation window in the temporal candidate set
mse_f29hkasxxz61ghw6:d1,2026-08-10T09:45:00+00:00,codex,No match,019fe379-dff4-7821-928c-3269d799a758,2026-08-08T22:24:03.210000+00:00,.codex/sessions/2026/08/08/rollout-2026-08-08T23-24-03-019fe379-dff4-7821-928c-3269d799a758.jsonl,1,0.19125913767968036,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_f82r85nq95zng55e:d1,2026-07-05T08:17:00+00:00,codex,No match,019f26b2-9813-7101-ac1c-baa49a3c8ad2,2026-07-03T06:37:53.882000+00:00,.codex/sessions/2026/07/03/rollout-2026-07-03T07-37-53-019f26b2-9813-7101-ac1c-baa49a3c8ad2.jsonl,1,0.16172683392296341,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_ffas1dmpbqpahr5p:d1,2026-09-10T09:49:00+00:00,codex,No match,01a08514-0025-7a61-8c81-daae43bceb86,2026-09-09T07:31:15.781000+00:00,.codex/sessions/2026/09/09/rollout-2026-09-09T08-31-15-01a08514-0025-7a61-8c81-daae43bceb86.jsonl,8,0.17117645125473888,0.023884766309065664,True,,no sufficiently similar conversation window in the temporal candidate set
mse_ffas1dmpbqpahr5p:d2,2026-09-10T09:49:00+00:00,codex,No match,01a0868a-099d-79c2-b2b1-7ee69e475d18,2026-09-09T14:19:48.632000+00:00,.codex/sessions/2026/09/09/rollout-2026-09-09T15-19-48-01a0868a-099d-79c2-b2b1-7ee69e475d18.jsonl,5,0.2191615709018137,0.02743182285293147,True,,no sufficiently similar conversation window in the temporal candidate set
mse_g3t3bbr0z5bprr6s:d1,2026-08-18T09:35:00+00:00,codex,No match,01a01494-2d86-7e43-a07d-1bffb2589f46,2026-08-18T11:14:10.605000+00:00,.codex/sessions/2026/08/18/rollout-2026-08-18T12-14-10-01a01494-2d86-7e43-a07d-1bffb2589f46.jsonl,6,0.20101461492534445,0.060879884524805195,True,,no sufficiently similar conversation window in the temporal candidate set
mse_jmha2w491rh76z03:d1,2026-07-07T14:42:00+00:00,codex,Low,019f3d0f-e0d9-7f33-a335-ee1a679f0137,2026-07-07T14:51:23.674000+00:00,.codex/sessions/2026/07/07/rollout-2026-07-07T15-51-23-019f3d0f-e0d9-7f33-a335-ee1a679f0137.jsonl,1,0.2649651204654163,0.2649651204654163,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_k57021by6y9b8yer:d1,2026-09-09T18:47:00+00:00,codex,Low,01a0868a-099d-79c2-b2b1-7ee69e475d18,2026-09-09T14:19:48.632000+00:00,.codex/sessions/2026/09/09/rollout-2026-09-09T15-19-48-01a0868a-099d-79c2-b2b1-7ee69e475d18.jsonl,17,0.26325198519322834,0.06885210322414556,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_km8t9eaxvgh0j38x:d1,2026-08-25T22:58:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_mjn0hcfh3vkvm715:d1,2026-09-06T15:59:00+00:00,codex,No match,01a076c1-c6d3-7372-8226-bd8370d1516e,2026-09-06T12:46:46.120000+00:00,.codex/sessions/2026/09/06/rollout-2026-09-06T13-46-46-01a076c1-c6d3-7372-8226-bd8370d1516e.jsonl,3,0.1862098536211582,0.03764875856775396,True,,no sufficiently similar conversation window in the temporal candidate set
mse_mrrnd0wam54vjrpc:d2,2026-09-14T01:45:00+00:00,codex,Low,01a09d55-63ec-7b60-b798-70d6e888b869,2026-09-14T00:33:34.387000+00:00,.codex/sessions/2026/09/14/rollout-2026-09-14T01-33-34-01a09d55-63ec-7b60-b798-70d6e888b869.jsonl,6,0.33938570662191747,0.13848404290668334,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_p2dgz4af43dhxs4p:d1,2026-08-11T11:00:00+00:00,codex,Low,019feca6-9016-75d3-a0ea-a15280892247,2026-08-10T17:09:26.830000+00:00,.codex/sessions/2026/08/10/rollout-2026-08-10T18-09-26-019feca6-9016-75d3-a0ea-a15280892247.jsonl,8,0.2994705705768994,0.0985958467195488,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_qgc90wxjngj6ss11:d1,2026-07-17T00:05:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.23527130650155723,0.0,False,competitive second session,multiple conversations discuss similar material
mse_qrh0wtg81prbfqmn:d1,2026-09-08T15:36:00+00:00,codex,Low,01a07df8-bc76-76f0-98f8-6b1a4015ea1a,2026-09-07T22:24:08.515000+00:00,.codex/sessions/2026/09/07/rollout-2026-09-07T23-24-08-01a07df8-bc76-76f0-98f8-6b1a4015ea1a.jsonl,25,0.278302358897206,0.0,False,competitive second session,multiple conversations discuss similar material
mse_r6tyarbkzz18st4w:d2,2026-07-31T13:21:00+00:00,codex,No match,019fb34e-dc09-7010-8233-4383756ab82e,2026-07-30T13:55:17.769000+00:00,.codex/sessions/2026/07/30/rollout-2026-07-30T14-55-17-019fb34e-dc09-7010-8233-4383756ab82e.jsonl,1,0.19997412467094236,0.0012154447578438532,True,,no sufficiently similar conversation window in the temporal candidate set
mse_rjkntwcd7qrc6yae:d1,2026-08-14T16:40:00+00:00,codex,No match,019ffa3e-8c95-7292-8911-3c0d357a2bd9,2026-08-13T08:30:31.184000+00:00,.codex/sessions/2026/08/13/rollout-2026-08-13T09-30-31-019ffa3e-8c95-7292-8911-3c0d357a2bd9.jsonl,1,0.19720749444331268,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_s5bjy5c7tq43zxbs:d1,2026-07-29T12:48:00+00:00,codex,Low,019fadcc-85d6-7142-b038-c6916abbeeb2,2026-07-29T12:14:49.965000+00:00,.codex/sessions/2026/07/29/rollout-2026-07-29T13-14-49-019fadcc-85d6-7142-b038-c6916abbeeb2.jsonl,1,0.24978505051221603,0.07673187914459281,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_sngrjb8vqmh3ap8q:d1,2026-07-10T02:34:00+00:00,codex,Low,019f26b2-9813-7101-ac1c-baa49a3c8ad2,2026-07-09T17:56:20.981000+00:00,.codex/sessions/2026/07/09/rollout-2026-07-09T18-56-20-019f4805-edd9-7e30-98ea-864077a28874.jsonl,1,0.27026482328945084,0.0,False,competitive second session,multiple conversations discuss similar material
mse_sp421s7cxtrbfqha:d1,2026-07-17T00:17:00+00:00,codex,No match,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.14612446323899733,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_sr9jqepsh66eynha:d3,2026-08-10T20:00:00+00:00,codex,Low,019feb41-a290-73d1-aba3-042493dd017e,2026-08-10T10:39:35.208000+00:00,.codex/sessions/2026/08/10/rollout-2026-08-10T11-39-35-019feb41-a290-73d1-aba3-042493dd017e.jsonl,1,0.2801698092589631,0.0,False,competitive second session,multiple conversations discuss similar material
mse_t4sapqa9bwfk5bfb:d1,2026-08-10T09:56:00+00:00,codex,Low,019fe379-dff4-7821-928c-3269d799a758,2026-08-08T22:24:03.210000+00:00,.codex/sessions/2026/08/08/rollout-2026-08-08T23-24-03-019fe379-dff4-7821-928c-3269d799a758.jsonl,1,0.23009354725603856,0.0,False,competitive second session,multiple conversations discuss similar material
mse_tjrmm9g13agj3js2:d1,2026-08-16T15:30:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_v048edjgmvk5mqsx:d1,2026-09-21T21:33:00+00:00,codex,Low,01a0b600-7c89-70f2-a85a-c57aad5c5b26,2026-09-21T21:10:28.715000+00:00,.codex/sessions/2026/09/21/rollout-2026-09-21T22-10-28-01a0c5ce-53d6-7bd3-af30-0940b2f37dfe.jsonl,1,0.2506693615095433,0.0,False,competitive second session,multiple conversations discuss similar material
mse_v26pem9hsvsbjbge:d3,2026-07-16T00:02:00+00:00,codex,Low,019f64ba-a828-7a83-909d-bef0998afdab,2026-07-15T07:43:07.213000+00:00,.codex/sessions/2026/07/15/rollout-2026-07-15T08-43-07-019f64ba-a828-7a83-909d-bef0998afdab.jsonl,1,0.3129880838889135,0.0,False,competitive second session,multiple conversations discuss similar material
mse_vexkm8da35zj856x:d1,2026-06-29T20:37:00+00:00,codex,Medium,019f0b5e-267a-7263-8c5c-0f6fb130fe4b,2026-06-27T23:15:47.499000+00:00,.codex/sessions/2026/06/28/rollout-2026-06-28T00-15-47-019f0b5e-267a-7263-8c5c-0f6fb130fe4b.jsonl,35,0.4385936606057723,0.21059895861043004,True,,
mse_x8t3msqrjns07210:d1,2026-07-13T07:45:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
mse_xpjr3zv6wthje8sk:d1,2026-07-29T18:44:00+00:00,codex,Low,019fadcc-85d6-7142-b038-c6916abbeeb2,2026-07-29T12:14:49.965000+00:00,.codex/sessions/2026/07/29/rollout-2026-07-29T13-14-49-019fadcc-85d6-7142-b038-c6916abbeeb2.jsonl,1,0.23853849693872356,0.03637198349420015,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_ypmrtzfmw4qwtbnn:d3,2026-07-31T19:59:00+00:00,codex,Low,019fb34e-dc09-7010-8233-4383756ab82e,2026-07-30T13:55:17.769000+00:00,.codex/sessions/2026/07/30/rollout-2026-07-30T14-55-17-019fb34e-dc09-7010-8233-4383756ab82e.jsonl,1,0.2586774162742583,0.0,False,competitive second session,multiple conversations discuss similar material
mse_yqgwc39y2edbj9w5:d1,2026-09-14T22:53:00+00:00,codex,Low,01a09d55-63ec-7b60-b798-70d6e888b869,2026-09-14T00:33:34.387000+00:00,.codex/sessions/2026/09/14/rollout-2026-09-14T01-33-34-01a09d55-63ec-7b60-b798-70d6e888b869.jsonl,37,0.3449968720508793,0.12169520322205782,True,,"decision wording may be rewritten, synthesized across turns, or weakly distinctive"
mse_yvxv2af7yrvh4m78:d1,2026-09-06T21:40:00+00:00,codex,No match,01a076c1-c6d3-7372-8226-bd8370d1516e,2026-09-06T12:46:46.120000+00:00,.codex/sessions/2026/09/06/rollout-2026-09-06T13-46-46-01a076c1-c6d3-7372-8226-bd8370d1516e.jsonl,3,0.16057063301722743,0.019205568478514234,True,,no sufficiently similar conversation window in the temporal candidate set
mse_zt6g7hd176qy1kfn:d1,2026-07-07T11:20:00+00:00,codex,No match,,,,,,0.0,True,,no sufficiently similar conversation window in the temporal candidate set
